Date,Price
2020-06-28,1.57
2020-07-05,1.71
2020-07-12,1.78
2020-07-19,1.77
2020-07-26,1.72
2020-08-02,1.82
2020-08-09,2.13
2020-08-16,2.17
2020-08-23,2.39
2020-08-30,2.52
2020-09-06,2.16
2020-09-13,2.16
2020-09-20,1.93
2020-09-27,1.68
2020-10-04,1.65
2020-10-11,1.91
2020-10-18,2.17
2020-10-25,2.74
2020-11-01,3.09
2020-11-08,2.78
2020-11-15,2.75
2020-11-22,2.39
2020-11-29,2.39
2020-12-06,2.69
2020-12-13,2.44
2020-12-20,2.7
2020-12-27,2.72
2021-01-03,2.38
2021-01-10,2.74
2021-01-17,2.82
2021-01-24,2.54
2021-01-31,2.71
2021-02-07,3.12
2021-02-14,4.63
2021-02-21,12.18
2021-02-28,2.86
2021-03-07,2.79
2021-03-14,2.65
2021-03-21,2.53
2021-03-28,2.54
2021-04-04,2.54
2021-04-11,2.45
2021-04-18,2.59
2021-04-25,2.76
2021-05-02,2.88
